year_month,vendor,contract_type,metric_name,contracted_value,actual_value,variance_pct,in_compliance,notes
2025-08,ITV,TV Airtime,delivery_vs_booked_grps_pct,95.0,81.1,-14.6,False,Scheduling conflict — makegood agreed
2025-08,ITV,TV Airtime,makegood_turnaround_days,5.0,4.1,-18.0,True,
2025-09,ITV,TV Airtime,delivery_vs_booked_grps_pct,95.0,97.4,2.5,True,
2025-09,ITV,TV Airtime,makegood_turnaround_days,5.0,4.5,-10.0,True,
2025-10,ITV,TV Airtime,delivery_vs_booked_grps_pct,95.0,95.6,0.6,True,
2025-10,ITV,TV Airtime,makegood_turnaround_days,5.0,4.9,-2.0,True,
2025-11,ITV,TV Airtime,delivery_vs_booked_grps_pct,95.0,97.9,3.1,True,
2025-11,ITV,TV Airtime,makegood_turnaround_days,5.0,4.6,-8.0,True,
2025-12,ITV,TV Airtime,delivery_vs_booked_grps_pct,95.0,95.2,0.2,True,
2025-12,ITV,TV Airtime,makegood_turnaround_days,5.0,4.4,-12.0,True,
2025-09,Sky Media,TV + BVOD Airtime,delivery_vs_booked_grps_pct,95.0,96.9,2.0,True,
2025-09,Sky Media,TV + BVOD Airtime,adsmart_targeting_accuracy_pct,90.0,92.0,2.2,True,
2025-10,Sky Media,TV + BVOD Airtime,delivery_vs_booked_grps_pct,95.0,95.8,0.8,True,
2025-10,Sky Media,TV + BVOD Airtime,adsmart_targeting_accuracy_pct,90.0,91.5,1.7,True,
2025-11,Sky Media,TV + BVOD Airtime,delivery_vs_booked_grps_pct,95.0,97.7,2.8,True,
2025-11,Sky Media,TV + BVOD Airtime,adsmart_targeting_accuracy_pct,90.0,91.2,1.3,True,
2025-12,Sky Media,TV + BVOD Airtime,delivery_vs_booked_grps_pct,95.0,98.0,3.2,True,
2025-12,Sky Media,TV + BVOD Airtime,adsmart_targeting_accuracy_pct,90.0,86.5,-3.9,False,Under review — vendor notified
2025-07,JCDecaux,OOH,site_uptime_pct,98.0,100.0,2.0,True,
2025-07,JCDecaux,OOH,posting_compliance_pct,95.0,95.6,0.6,True,
2025-08,JCDecaux,OOH,site_uptime_pct,98.0,98.9,0.9,True,
2025-08,JCDecaux,OOH,posting_compliance_pct,95.0,89.2,-6.1,False,Partial delivery — reconciliation in progress
2025-09,JCDecaux,OOH,site_uptime_pct,98.0,100.0,2.0,True,
2025-09,JCDecaux,OOH,posting_compliance_pct,95.0,96.2,1.3,True,
2025-10,JCDecaux,OOH,site_uptime_pct,98.0,100.0,2.0,True,
2025-10,JCDecaux,OOH,posting_compliance_pct,95.0,91.2,-4.0,False,Credit note pending
2025-11,JCDecaux,OOH,site_uptime_pct,98.0,98.1,0.1,True,
2025-11,JCDecaux,OOH,posting_compliance_pct,95.0,97.3,2.4,True,
2025-12,JCDecaux,OOH,site_uptime_pct,98.0,98.8,0.8,True,
2025-12,JCDecaux,OOH,posting_compliance_pct,95.0,89.0,-6.3,False,Credit note pending
2025-08,Clear Channel,DOOH,screen_uptime_pct,97.0,93.2,-3.9,False,Under review — vendor notified
2025-08,Clear Channel,DOOH,impression_delivery_pct,90.0,92.5,2.8,True,
2025-09,Clear Channel,DOOH,screen_uptime_pct,97.0,98.9,2.0,True,
2025-09,Clear Channel,DOOH,impression_delivery_pct,90.0,91.0,1.1,True,
2025-10,Clear Channel,DOOH,screen_uptime_pct,97.0,97.6,0.6,True,
2025-10,Clear Channel,DOOH,impression_delivery_pct,90.0,90.5,0.6,True,
2025-11,Clear Channel,DOOH,screen_uptime_pct,97.0,97.3,0.3,True,
2025-11,Clear Channel,DOOH,impression_delivery_pct,90.0,92.7,3.0,True,
2025-12,Clear Channel,DOOH,screen_uptime_pct,97.0,99.3,2.4,True,
2025-12,Clear Channel,DOOH,impression_delivery_pct,90.0,90.4,0.4,True,
2025-07,MediaAgency,Agency Services,campaign_launch_on_time_pct,95.0,97.0,2.1,True,
2025-07,MediaAgency,Agency Services,monthly_report_timeliness_days,3.0,1.1,-63.3,True,
2025-08,MediaAgency,Agency Services,campaign_launch_on_time_pct,95.0,96.4,1.5,True,
2025-08,MediaAgency,Agency Services,monthly_report_timeliness_days,3.0,2.0,-33.3,True,
2025-09,MediaAgency,Agency Services,campaign_launch_on_time_pct,95.0,96.7,1.8,True,
2025-09,MediaAgency,Agency Services,monthly_report_timeliness_days,3.0,1.6,-46.7,True,
2025-10,MediaAgency,Agency Services,campaign_launch_on_time_pct,95.0,89.1,-6.2,False,Credit note pending
2025-10,MediaAgency,Agency Services,monthly_report_timeliness_days,3.0,2.9,-3.3,True,
2025-11,MediaAgency,Agency Services,campaign_launch_on_time_pct,95.0,96.2,1.3,True,
2025-11,MediaAgency,Agency Services,monthly_report_timeliness_days,3.0,2.8,-6.7,True,
2025-12,MediaAgency,Agency Services,campaign_launch_on_time_pct,95.0,95.5,0.5,True,
2025-12,MediaAgency,Agency Services,monthly_report_timeliness_days,3.0,2.0,-33.3,True,
