image_path,description,channel,vehicle_model,creative_type,audience_segment,campaign_id,dimensions,file_size
data/assets/meta/meta_deepal_s05_social_post_01.png,"Hero launch social post creative for DEEPAL S05 — lifestyle shot targeting lookalike converter audiences, used in Meta social campaigns, September 2025 UK launch",meta,DEEPAL S05,Social Post,LOOKALIKE_CONVERTERS,META_GB_S05_01_7817,1024x1024,1809559
data/assets/meta/meta_avatr_11_story_ad_02.png,"Hero launch story format ad for AVATR 11 — lifestyle shot targeting website retargeting visitors, used in Meta social campaigns, September 2025 UK launch",meta,AVATR 11,Story Ad,SITE_VISITORS,META_GB_A11_02_1016,1024x1024,1473767
data/assets/meta/meta_avatr_12_carousel_03.png,"Hero launch carousel creative for AVATR 12 — lifestyle shot targeting tech enthusiasts, used in Meta social campaigns, September 2025 UK launch",meta,AVATR 12,Carousel,TECH_ENTHUSIASTS,META_GB_A12_03_3366,1024x1024,1727084
data/assets/meta/meta_avatr_12_reel_cover_04.png,"Hero launch reel cover image for AVATR 12 — lifestyle shot targeting website retargeting visitors, used in Meta social campaigns, September 2025 UK launch",meta,AVATR 12,Reel Cover,SITE_VISITORS,META_GB_A12_04_6402,1024x1024,1633869
data/assets/meta/meta_deepal_s07_social_post_05.png,"Hero launch social post creative for DEEPAL S07 — lifestyle shot targeting young professionals, used in Meta social campaigns, September 2025 UK launch",meta,DEEPAL S07,Social Post,YOUNG_PROFESSIONALS,META_GB_S07_05_1865,1024x1024,1678245
data/assets/meta/meta_deepal_s05_story_ad_06.png,"Hero launch story format ad for DEEPAL S05 — lifestyle shot targeting EV intenders, used in Meta social campaigns, September 2025 UK launch",meta,DEEPAL S05,Story Ad,EV_INTENDERS,META_GB_S05_06_5809,1024x1024,1384755
data/assets/meta/meta_avatr_12_carousel_07.png,"Hero launch carousel creative for AVATR 12 — lifestyle shot targeting lookalike converter audiences, used in Meta social campaigns, September 2025 UK launch",meta,AVATR 12,Carousel,LOOKALIKE_CONVERTERS,META_GB_A12_07_7341,1024x1024,1853886
data/assets/meta/meta_avatr_12_reel_cover_08.png,"Hero launch reel cover image for AVATR 12 — lifestyle shot targeting Audi conquest segment, used in Meta social campaigns, September 2025 UK launch",meta,AVATR 12,Reel Cover,CONQUEST_AUDI,META_GB_A12_08_4631,1024x1024,1721403
data/assets/google/google_deepal_s05_display_ad_01.png,"Hero launch display banner for DEEPAL S05 — lifestyle shot targeting premium auto buyers, used in Google Ads network, September 2025 UK launch",google,DEEPAL S05,Display Ad,PREMIUM_AUTO,GOOGLE_GB_S05_01_1193,1024x1024,1055380
data/assets/google/google_avatr_11_search_ad_02.png,"Hero launch search ad creative for AVATR 11 — lifestyle shot targeting configurator users, used in Google Ads network, September 2025 UK launch",google,AVATR 11,Search Ad,CONFIGURATOR_USERS,GOOGLE_GB_A11_02_6514,800x600,18145
