campaign_name,start_date,end_date,station,station_group,market,daypart,spots_per_day,total_spots,reach_000,frequency,cpm,spend,region
Price Announcement - Smooth Radio London,2025-01-09,2025-01-22,Smooth Radio,Global,GB,Breakfast Drive,18,252,565,4.5,38.63,21825.97,London
Dealer Opening - Classic FM North East,2025-01-11,2025-01-24,Classic FM,Global,GB,Breakfast Drive,13,182,490,3.7,31.45,15410.73,North East
Price Announcement - Capital FM South West,2025-02-04,2025-02-17,Capital FM,Global,GB,Breakfast Drive,19,266,1799,1.5,6.53,11742.13,South West
Price Announcement - Heart Wales,2025-03-06,2025-03-19,Heart,Global,GB,Breakfast Drive,15,210,1414,1.5,2.32,3278.61,Wales
S05 Preview - LBC South West,2025-03-11,2025-03-24,LBC,Global,GB,Breakfast Drive,17,238,1728,1.4,5.8,10020.51,South West
Year-End Offer - BBC Radio 5 Northern Ireland,2025-03-15,2025-03-28,BBC Radio 5,BBC,GB,Breakfast Drive,16,224,670,3.3,14.82,9928.71,Northern Ireland
Dealer Opening - Classic FM East Anglia,2025-04-15,2025-04-28,Classic FM,Global,GB,Daytime,9,126,370,3.4,10.04,3714.8,East Anglia
Brand Awareness - BBC Radio 5 South East,2025-04-19,2025-04-25,BBC Radio 5,BBC,GB,Breakfast Drive,17,119,800,1.5,8.67,6938.52,South East
Test Drive Invite - Classic FM North West,2025-05-03,2025-05-16,Classic FM,Global,GB,Breakfast Drive,10,140,529,2.6,23.17,12256.76,North West
Dealer Opening - LBC Wales,2025-05-16,2025-05-29,LBC,Global,GB,Breakfast Drive,8,112,984,1.1,5.12,5035.11,Wales
Price Announcement - LBC East Anglia,2025-06-08,2025-06-21,LBC,Global,GB,Drive Time,12,168,823,2.0,14.0,11524.92,East Anglia
S05 Preview - Capital FM South West,2025-06-19,2025-06-25,Capital FM,Global,GB,Daytime,7,49,224,2.2,8.0,1791.53,South West
S07 Launch - Heart Midlands,2025-07-01,2025-07-21,Heart,Global,GB,Evening,8,168,1029,1.6,8.21,8452.81,Midlands
Conquest EV - talkSPORT South East,2025-07-02,2025-07-22,talkSPORT,Bauer,GB,Breakfast Drive,18,378,2738,1.4,6.25,17125.82,South East
Price Announcement - talkSPORT Midlands,2025-07-04,2025-07-10,talkSPORT,Bauer,GB,Breakfast Drive,15,105,624,1.7,10.48,6540.55,Midlands
Conquest EV - talkSPORT Midlands,2025-07-07,2025-07-20,talkSPORT,Bauer,GB,Drive Time,6,84,436,1.9,9.96,4340.84,Midlands
Test Drive Invite - Heart East Anglia,2025-07-12,2025-07-25,Heart,Global,GB,Breakfast Drive,19,266,284,9.4,70.17,19929.32,East Anglia
Brand Awareness - LBC London,2025-07-18,2025-07-24,LBC,Global,GB,Breakfast Drive,16,112,214,5.2,40.82,8735.49,London
